id,title,dbreference,painter,description,motif,medium,support,category,location,image,date,width,height,signature,remark,reference
57,"Portrait de Fanny, la mère de Marius",J17,1,"portrait de Fanny, la mère de Marius",,huile ,toile,,,"Portrait de Fanny, la mère de Marius",,46.0 ,55.0 ,sans,,J17
58,Portrait de Claude Cariage adolescent,J18,1,portrait de Claude Cariage adolescent assis avec un livre en mains,,huile ,toile,,,Portrait de Claude Cariage adolescent,,56.0 ,71.0 ,bas droite,,J18
59,"Nature morte, livres, etc'",J19,1,"nature morte, livres, statue et chandelier en forme de gryphon",,huile ,toile,,,"Nature morte, livres, etc'",,40.5 ,30.0 ,sans,,J19
60,môle de la pêcherie,J20,1,môle de la pêche,,huile ,bois,,,môle de la pêcherie,,35.5 ,27.5 ,bas droite,,J20
61,Manque,J21,1,paysage de montagne ,,huile ,bois,,,,,34.5 ,27.0 ,bas gauche,Pas d'image,J21
62,Pointe de la Tourette,J22,1,Pointe de la Tourette,,huile ,bois,,,Pointe de la Tourette,,35.0 ,27.0 ,bas droite,est en double avec Marie-Jo (M71) ; celui de Marie-Jo est grand,J22
63,cour de fermes à la montagne,J23,1,fermes à la montagne,,huile ,pavatex,,,cour de fermes à la montagne,,35.0 ,26.0 ,bas droite,,J23
64,évent. les Gorges de Palestro,J24,1,Éventuellement les Gorges de Palestro,,huile ,bois,,,évent. les Gorges de Palestro,,22.5 ,32.0 ,sans,,J24
65,roulottes,J25,1,roulottes,,papier collé,carton,,,roulottes,,16.0 ,22.0 ,bas gauche,,J25
66,"Joséphine Cariage, tableau I",J26,1,portrait de Joséphine Cariage-Morel (1) assise sur un fauteuil avec livres,,huile ,toile,,,"Joséphine Cariage, tableau I",,79.0 ,98.0 ,sur le dos d'un livre,(1) née le 18.09.1881 ou le 28.11.1881 ; avait 27 ans au moment de la réalisation du tableau,J26
67,barque à voile à sa bouée,J27,1,barque à voile à sa bouée,,huile,p1,,,barque à voile à sa bouée,,22.0 ,16.0 ,oui,,J27
68,Château de Lordat,J28,1,Château de Lordat,,huile,toile,,,Château de Lordat,,60.0 ,42.0 ,oui,,J28
69,chemin dans la montagne,J29,1,chemin dans la montagne,,huile,bois,,,chemin dans la montagne,,27.0 ,32.0 ,oui,,J29
70,"Claude, VIII",J30,1,portrait de Claude (avec une chemise ouverte),,huile,toile,,,"Claude, VIII",1944-01-01,43.0 ,52.0 ,oui,,J30
71,falaises Sainte Marguerite,J31,1,falaises Sainte Marguerite,,huile,bois,,,falaises Sainte Marguerite,,72.0 ,53.0 ,oui,,J31
72,grange à la montagne,J32,1,grange à la montagne A,,huile,pavatex,,,grange à la montagne,,19.0 ,24.0 ,non,,J32
73,Manque,J33,1,grange à la montagne B,,huile,pavatex,,,,,35.0 ,26.0 ,oui,pas d'image,J33
74,bateaux de guerre,J34,1,2 bateaux de guerre,,huile,bois,,,bateaux de guerre,,18.0 ,26.5 ,non,,J34
75,Jo à sa fenêtre,J35,1,Jo à sa fenêtre,,huile,toile,,,Jo à sa fenêtre,,24.5 ,33.0 ,oui,,J35
76,Jo Cariage avec vison,J36,1,Jo Cariage avec vison,,huile,papier,,,Jo Cariage avec vison,,35.0 ,49.0 ,oui,,J36
77,la gorguette,J37,1,''la gorguette'',,huile,toile,,,la gorguette,,54.0 ,42.0 ,oui,,J37
78,le Salève vu depuis les environs de Jussy,J38,1,le Salève vu depuis les environs de Jussy,,huile,pavatex,,Jussy,le Salève vu depuis les environs de Jussy,,35.0 ,27.0 ,oui,,J38
79,Les deux frères Claude et Paul,J39,1,''Les deux frères'' Claude et Paul à Bargemont,,huile,bois,,Bargemont,Les deux frères Claude et Paul,1928-07-01,72.0 ,53.0 ,oui,"selon une photo, le tableau date de juillet 1928",J39
80,paysage de montagne,J40,1,paysage de montagne bis,,huile,bois,,,paysage de montagne,,35.0 ,27.0 ,oui,,J40
81,chemin dans un sous bois,J41,1,chemin dans un sous bois,,huile,papier,,,chemin dans un sous bois,,22.0 ,16.0 ,oui,Éventuellement 28.07.1918,J41
82,La ferme de Mariton,J42,1,"Tence, les foins à la ferme de Mariton",,huile,bois,,Tence,La ferme de Mariton,,98.0 ,51.0 ,oui,"Tence, les foins à la ferme de Mariton",J42
83,Vilar Colmar,J43,1,Vilar Colmar (ou Vilaz Colmaz),,huile,toile,,vilar Colmar,Vilar Colmar,,55.0 ,38.0 ,oui,Éventuellement 1923; Vilar Colmar (ou Vilaz Colmaz),J43
84,Médaillon Joséphine Cariage I,J44,1,profil de femme (Joséphine Cariage) (avait 37 ans),,plâtre,,,,Médaillon Joséphine Cariage I,,28.0 ,36.0 ,bas droite,,J44
85,"Médaillon, Georges Marchand, soldat pendant WW1",J45,1,"profil de Georges Marchand, guerre de 1914-1918 (""poilu"")",,plâtre,,,,"Médaillon, Georges Marchand, soldat pendant WW1",,30.5 ,36.5 ,bas gauche,"Médaillon, Georges Marchand, soldat de 14.18",J45
86,"Buste terre cuite, Claude Cariage enfant",J46,1,buste de Claude Cariage (il avait 6 ans et 7 mois),,terre cuite,,,,"Buste terre cuite, Claude Cariage enfant",,31.0 ,42.0 ,sur la base,,J46
87,portrait de Gabrielle jeune,J47,1,portrait de Gabrielle jeune,,pastel,papier,,,portrait de Gabrielle jeune,,32.0 ,42.0 ,sans,,J47
88,Paysage route,J48,1,paysage (à Ténès ?) avec route,,,papier,,Ténès,Paysage route,,31.0 ,24.5 ,non,donné par Marie-Jo à Jean-Marie le 03.08.2020; (ex.M61) paysage à Ténès avec route,J48
188,sentier des Saules à Genève,P01,1,sentier des Saules (?),,huile,toile,,,sentier des Saules à Genève,1911-01-01,59.0 ,44.0 ,oui,,P01
189,Claude enfant travaillant sous les arbres,P02,1,Claude enfant travaillant sous les arbres,,huile ,bois,,,Claude enfant travaillant sous les arbres,,27.0 ,34.0 ,non,,P02
190,roches rouges,P03,1,Les roches rouges (Sanary?),,huile ,bois,,,roches rouges,,54.5 ,33.0 ,oui,,P03
191,"Khadoudja, mauresque",P04,1,"Khadoudja, mauresque",,huile,toile,,,"Khadoudja, mauresque",,81.0 ,60.0 ,oui,,P04
192,fleurs jaunes dans un vase,P05,1,fleurs jaunes dans un vase,,huile,toile,,,fleurs jaunes dans un vase,,38.0 ,48.0 ,oui,,P05
193,roses jaunes dans un vase,P06,1,roses jaunes,,huile,carton,,,roses jaunes dans un vase,,26.0 ,35.0 ,oui,,P06
194,"Ténès, mosquée Sidi-Brahim",P07,1,"Ténès, mosquée Sidi-Brahim",,huile ,bois,,,"Ténès, mosquée Sidi-Brahim",1940-08-01,25.0 ,47.0 ,non,,P07
195,"Méounes, le Nail",P08,1,Méounes – le Naïl,,huile ,bois,,,"Méounes, le Nail",,44.0 ,36.5 ,oui,,P08
196,portrait de Jo Cariage avec chemisier blanc,P09,1,portrait de Jo avec un chemisier blanc,,huile,toile,,,portrait de Jo Cariage avec chemisier blanc,1912-01-01,31.5 ,42.5 ,oui,,P09
